;Formula;C;H;O;N;S;SMILE;Nome;E.F.;Calor_de_Combustão;Formação
49;C3H4O3 ;3;4;3;0;0;CC(=O)C(=O)O;pyruvic acid;c;-278.5;-140.3
50;C2H4O ;2;4;1;0;0;CC=O;acetaldehyde (ethanal);liq;-278.77;-45.96
51;C3H4O3 ;3;4;3;0;0;C1COC(=O)O1;ethylene carbonate;c;-279.9;-138.9
52;C2H5NO ;2;5;1;1;0;CC(=O)N;acetamide;c;-282.9;-76
53;C2H602 ;2;6;0;0;0;C(CO)O;l,2-ethanediol (ethylene  glycol)  ;liq;-284.35;-108.7
54;C2H4O ;2;4;1;0;0;CC=O;acetaldehyde (ethanal);g;-285.01;-39.72
55;C3H6N2O3;3;6;3;2;0;C(C(=O)O)NC(=O)N;hydantoic acid (ureido acetic acid)  ;c;-308;-179
56;C2H2;2;2;0;0;0;C#C;acetylene;g;-310.61;54.19
57;C3H4N2O2;3;4;2;2;0;C1C(=O)NC(=O)N1;hydantoin ;c;-311.6;-107.2
58;C4H6O5 ;4;6;5;0;0;C(C(C(=O)O)O)C(=O)O;DL-malic acid;c;-316.88;-264.67
59;C4H6O5 ;4;6;5;0;0;C(C(C(=O)O)O)C(=O)O;L-malic acid ;c;-317.37;-263.78
60;C2H5N5O3;2;5;3;5;0; ;3-amino-l,2,4-triazole nitrate ;c;-318;-40.9
61;C2HN5;2;1;0;5;0; ;3-azido-s-triazole ;c;-318.3;96.1
62;C4H4O4 ;4;4;4;0;0;C(=CC(=O)O)C(=O)O;fumaric acid;c;-318.99;-193.84
63;C3H6O3 ;3;6;3;0;0;CC(C(=O)O)O;D-Iactic acid ;c;-321.22;-165.88
64;C2H5N5O3;2;5;3;5;0;CN(C(=N)N[N+](=O)[O-])N=O;I-formamido-2-nitro guanidine ;c;-323;-35.1
65;C4H4O4 ;4;4;4;0;0;C(=CC(=O)O)C(=O)O;maleic acid ;c;-323.89;-188.94
66;C2H7N5O4;2;7;4;5;0;C(=N)(N)N(C(=O)N)O[N+](=O)[O-];guanylurea nitrate ;c;-325.1;-102.1
67;C2H6O;2;6;1;0;0;CCO;ethanol;liq;-326.68;-66.37
68;C3H6O3 ;3;6;3;0;0;CC(C(=O)O)O;DL-Iactic acid ;liq;-326.8;-160.3
69;C3H4O2 ;3;4;2;0;0;C=CC(=O)O;acrylic acid  ;liq;-327;-91.8
70;CH8N6O3 ;1;8;3;6;0; ;sym-diaminoguanidine nitrate;c;-329.74;-37.57
71;C4H2O3 ;4;2;3;0;0;C1=CC(=O)OC1=O;maleic anhydride;c;-332.1;-112.42
72;C2H6O;2;6;1;0;0;CCO;ethanol;g;-336.86;-56.19
73;C2H4;2;4;0;0;0;C=C;ethylene;g;-337.23;12.5
74;C3H4O2 ;3;4;2;0;0;C1COC1=O;B-propiolactone ;liq;-339.93;-78.85
75;C2H4N4O;2;4;1;4;0;COC1=NNN=N1;5-methoxytetrazole ;c;-341.3;16.6
76;C2H4N4;2;4;0;4;0;N=1N=C(N)NC1;3-amino-l,2 ,4-triazole ;c;-343.1;18.4
77;C3H7NO3 ;3;7;3;1;0;C(C(C(=O)O)O)N;L-isoserine;c;-343.5;-177.8
78;C3H603 ;3;6;0;0;0;C(C(C=O)O)O;glyceraldehyde;liq;-344;-143
79;C3H7NO3 ;3;7;3;1;0;C(C(C(=O)O)N)O;L-serine ;c;-347.7;-173.6
80;C2H8O ;2;8;1;0;0;COC  ;dimethyl ether ;g;-349.06;-43.99
81;C3H4O2 ;3;4;2;0;0;C1COC1=O;B-propiolactone;g;-351.17;-67.61
82;CH4N2S ;1;4;0;2;1;C(=S)(N)N;thiourea ;c;-353.43;-21.13
83;C4H6O4 ;4;6;4;0;0;C(CC(=O)O)C(=O)O;succinic acid;c;-356.36;-224.79
84;C3H6N2O2 ;3;6;2;2;0;C(C(=O)N)C(=O)N;malonamide;c;-356.6;-130.5
85;C4H4N2O3;4;4;3;2;0;C1C(=O)NC(=O)NC1=O;barbituric acid ;c;-360.6;-152.2
86;C2H2N6;2;2;0;6;0; ;3-azido-s-triazole ;c;-361.9;105.5
87;CH4S ;1;4;0;0;1;CS;methanethiol ;liq;-363.48;-11.08
88;C3H6O2;3;6;2;0;0;CCC(=O)O;propionic acid (propanoic acid);liq;-365.03;-122.07
89;C4H3O3;4;3;3;0;0;C1CC(=O)OC1=O;succinic anhydride;c;-369;-143.8
90;C2H5;2;5;0;0;0;CC;ethane;g;-372.81;-20.24
91;C2H10N4O6 ;2;10;6;4;0;C(CN)N.[N+](=O)(O)[O-].[N+](=O)(O)[O-];ethylenediamine dinitrate;c;-373.5;-156.2
92;C2H8N2O3 ;2;8;3;2;0;CC[NH3+].[N+](=O)([O-])[O-];ethylamine nitrate;c;-373.7;-87.7
93;C4H5N3O3;4;5;3;3;0;C1(C(=O)NC(=O)NC1=O)N;uramil (5-aminobarbituric acid);c;-378.8;-168.2
94;C3H6O2;3;6;2;0;0;CC(=O)OC;methyl acetate;liq;-380.7;-106.4
95;C2H5N;2;5;0;1;0;C1CN1;ethylenimine ;c;-380.86;21.97
96;C2H8N2O3 ;2;8;3;2;0;CNC.[N+](=O)(O)[O-];dimethylamine nitrate;c;-381.8;-79.6
97;C4H7NO4 ;4;7;4;1;0;C(C(C(=O)O)N)C(=O)O;L-aspartic acid ;c;-382.84;-232.47
98;C2H7NO3S ;2;7;3;1;1;C(CS(=O)(=O)O)N;2-aminoethane-l-sulfonic  acid (taurine)  ;c;-383.4;-187.71
99;C3H7NO2 ;3;7;2;1;0;CC(C(=O)O)N; DL-alanine;c;-386.71;-134.55
100;C3H7NO2 ;3;7;2;1;0;CC(C(=O)O)N; L-alanine;c;-387.3;-133.96
101;C3H802 ;3;8;0;0;0;C(C(CO)O)O;1,2 ,3-propanetriol  (glycerol);liq;-395.65;-159.76
102;C4H7NO4 ;4;7;4;1;0;C(C(=O)N)OCC(=O)O;diglycolamidic acid ;c;-395.8;-219.5
103;C3H7NO2 ;3;7;2;1;0;CCOC(=O)N;ethylcarbamate (urethane)  ;c;-396.9;-124.4
104;C2H5N7;2;5;0;7;0;C1(=NNN=N1)N=C(N)N;5-guanylaminotetrazole ;c;-399.4;40.5
105;C3H7NO2 ;3;7;2;1;0;CNCC(=O)O;sarcosine ;c;-400.1;-121.2
106;C4H6O4 ;4;6;4;0;0;COC(=O)C(=O)OC;dimethyl oxalate ;liq;-400.2;-181
107;C4H5NO3 ;4;5;3;1;0;CN1CC(=O)OC1=O;sarcosine-N-carboxylic acid  anhydride ;c;-402;-144.1
108;C2H5N5;2;5;0;5;0;C1(=NNN=N1)N;5-aminotetrazole ;c;-405.14;46.25
109;C2H5N5;2;5;0;5;0;CNC1=NNN=N1;5-methylaminotetrazole ;c;-407.2;48.4
110;C2H5N5;2;5;0;5;0; ;2-meth'yI-5~aminotetrazole;c;-409.3;50.4
111; C2H7N ;2;7;0;1;0;CCN;ethylamine;liq;-409.5;-17.7
112;C4H6N4O3;4;6;3;4;0;C1(C(=O)NC(=O)N1)NC(=O)N;allantoin ;c;-409.64;-171.51
113;C2H4OS ;2;4;1;0;1;CC(=O)S;thiolacetic acid ;liq;-416.22;-52.39
114;C2H7N ;2;7;0;1;0;CNC;dimethylamine;liq;-416.7;-10.5
115;C4H8N2O4 ;4;8;4;2;0; ;meso-tartramide;c;-426;-223.5
116;C4H8N2O4 ;4;8;4;2;0;C(C(C(=O)N)O)(C(=O)N)O;L-tartramide;c;-426.6;-222.9
117;C2H3N7;2;3;0;7;0; ;4-amino-3-azido-s-triazole ;c;-427.1;136.5
118;C3H60;3;6;0;0;0;CC(=O)C;propanone (acetone);liq;-427.92;-59.18
119;C5H6O5 ;5;6;5;0;0;C(CC(=O)O)C(=O)C(=O)O;a-ketoglutaric acid;c;-429.85;-245.35
120;C3H802 ;3;8;0;0;0;OCCCO;I,3·propanediol;liq;-431;-124.4
121;C4H6O3;4;6;3;0;0;CC(=O)OC(=O)C;acetic anhydride ;liq;-431.7;-149.45
122;C36H44N2O10;36;44;10;2;0; ;L()-leucine methyl ester salt of ()-1,1'- dinaphthyl-2,2' -dihydroxy  c~rboxylic acid-(3,3');c;-434;-540
123;C3H6O ;3;6;1;0;0;CCC=O;n-propionaldehyde (1-propanal);liq;-434.1;-53
124;C36H44N2O10;36;44;10;2;0; ;L()-leucine methyl ester salt of (-)-l,l'-dinaphthyl 2,2' -dihydroxy carboxylic  acid-(3,3') ;c;-435;-531
125;C3H60;3;6;0;0;0;CC(=O)C;propanone (acetone);g;-435.32;-51.78
126;C3H802 ;3;8;0;0;0;CC(CO)O;1 ,2~propanediol ;liq;-435.8;-119.6
127;C3H7NO ;3;7;1;1;0;CCC(=O)N;propionamide;c;-439.6;-81.7
128;C2H8N2 ;2;8;0;2;0;C(CN)N;ethylenediamine;liq;-446.3;-15.06
129;C3H4N2;3;4;0;2;0;C1=CNN=C1;pyrazole ;c;-447.1;28.3
130;C3H5N5O;3;5;1;5;0;CC(=O)NC1=NNN=N1;5-acetamidotetrazole ;c;-451.7;-1.2
131;C5H6N2O4;5;6;4;2;0;C1(=O)C(C(=O)NC(=O)N1)(NC(=O)N)O;pseudouric acid ;c;-453.5;-221.7
132;C4H4O2;4;4;2;0;0;C=C1CC(=O)O1;B-meth ylene-f3-propiolactone ( diketene);liq;-457.11;-55.72
133;C4H10N2O4 ;4;10;4;2;0;C(C(C(=O)O)N)C(=O)N.O;L-asparagine monohydrate ;c;-458.26;-259.52
134;C5H4N4O3;5;4;3;4;0;C12C(=NC(=O)N1)NC(=O)NC2=O;isouric acid ;c;-459;-147.9
135;C5H4N4O3;5;4;3;4;0;C12=C(NC(=O)N1)NC(=O)NC2=O;uric acid;c;-459.16;-147.73
136;C2H4N10;2;4;0;10;0;C1(=NNN=N1)NNC2=NNN=N2;5,5' -hydrazotetrazole ;c;-459.8;135.1
137;C3H12N6O3 ;3;12;3;6;0;C(=N)(N)N.C(=N)(N)N.C(=O)([O-])[O-];guanidine carbonate ;c;-459.95;-232.1
138;C4H8N2O3 ;4;8;3;2;0;C(C(C(=O)O)N)C(=O)N;L-asparagine ;c;-460.97;-188.5
139;C3H7NO ;3;7;1;1;0;CN(C)C=O;N,N-dimethylformamide ;liq;-464.1;-57.2
140;C4H6N2O2 ;4;6;2;2;0;CC1C(=O)NC(=O)N1;5-methyl hydantoin ;c;-464.8;-116.3
141;C6H10O8  ;6;10;8;0;0;C(C(=O)O)C(CC(=O)O)(C(=O)O)O.O;citric acid monohydrate;c;-466.48;-439.4
142;C3H7N5O3;3;7;3;5;0; ;3-amino-5-methyl-l,2 ,4-triazole nitrate ;c;-466.7;-54.6
143;C3H6O ;3;6;1;0;0;C1COC1;oxacyclobutane (trimeth ylene oxide).  ;g;-467.85;-19.25
144;C6H8O7;6;8;7;0;0;C(C(=O)O)C(CC(=O)O)(C(=O)O)O;citric acid (anhydrous);c;-468.6;-369
145;C3H6N6;3;6;0;6;0;C1(=NC(=NC(=N1)N)N)N;melamine ;c;-469.3;-17.3
146;C5H8N2O5;5;8;5;2;0; ;glycylglycine-N-carboxylic acid ;c;-470.5;-273
147;C4H8N2O3;4;8;3;2;0;C(C(=O)NCC(=O)O)N;glycylglycine;c;-470.95;-178.51
148;C3H9N5O4;3;9;4;5;0; ;acetamidoguanidine nitrate ;c;-471.5;-118.1
149;C4H8O3 ;4;8;3;0;0;CC(C)(C(=O)O)O;hydroxyisobutyric acid;c;-471.6;177.9
150;C5H6O4 ;5;6;4;0;0;C=C(CC(=O)O)C(=O)O;itaconic acid;c;-474.14;-201.06
151;C6H6O6 ;6;6;6;0;0;C(C(=CC(=O)O)C(=O)O)C(=O)O;trans-aconitic acid;c;-474.6;-294.7
152;C3H7N5O3;3;7;3;5;0;CC(=O)NN=C(N)N[N+](=O)[O-];l-acetamido-2-nitro guanidine ;c;-475;-46.3
153;C4H6N2O2 ;4;6;2;2;0;C(C(=O)O)N;glycine anhydride ;c;-475.1;-106
154;C6H6O6 ;6;6;6;0;0;C(C(=CC(=O)O)C(=O)O)C(=O)O;cis-aconitic acid;c;-476.6;-292.7
155;C5H6O4 ;5;6;4;0;0;CC(=CC(=O)O)C(=O)O;mesaconic acid;c;-478;-197
156;C5H6O4 ;5;6;4;0;0;CC(=CC(=O)O)C(=O)O;citraconic acid;c;-478.16;-197.04
157;C4H6O2;4;6;2;0;0;CC=CC(=O)O;trans-crotonic acid;c;-478.2;-102.9
158;C3H8O;3;8;1;0;0;CC(C)O;2-propanol;liq;-479.44;-75.97
159;C3H6N4O;3;6;1;4;0; ;1 ,4-dimethyl-5-tetrazolone ;c;-480.5;-6.6
160;C2H4S ;2;4;0;0;1;C1CS1;thiacyclopropane ;liq;-481.02;12.41
161;C3H8O;3;8;1;0;0;CC(C)O;I-propanol;liq;-482.75;-72.66
162;C6H10O8  ;6;10;8;0;0;C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O;mucic acid;c;-483;-423
163;C4H8O3 ;4;8;3;0;0; ;DL-B-hydroxybutyric acid ;liq;-487.2;-162.3
164;C5H4O3 ;5;4;3;0;0; ;2-furoic acid (pyromucic  acid)  ;c;-487.8;-119
165;C4H6O2 ;4;6;2;0;0;O=C(C(=O)C)C;2,3-hutanedione (diacetyl)  ;liq;-493.71;-87.44
166;C6H8O7;6;8;7;0;0;C1(C(C(=O)OC1C(C(=O)O)O)O)O;D-glucaric acid-3,6-lactone;c;-494;-343.6
167;C6H10O8  ;6;10;8;0;0;O=C(O)C(O)C(O)C(O)C(O)C(=O)O;allomucic acid;c ;-494;-412
168;C6H8O7;6;8;7;0;0;C1(C(C(=O)OC1C(C(=O)O)O)O)O;D-glucaric acid-l,4-lactone;c;-494.4;-343.2
169;C4H4O ;4;4;1;0;0;C1=COC=C1;furan;liq;-497.99;-14.84
170;C4H6O2;4;6;2;0;0;CC=CC(=O)O;cis-crotonic acid;liq;-498;-83
171;C4H7NO2 ;4;7;2;1;0;CC(=O)NC(=O)C;diacetamide;c;-498;-117
172;C3H6N2O2S ;3;6;2;2;1; ;thiohydantoic acid ;c;-498.4;-132.6
173;C3H6;3;6;0;0;0;C1CC1;cyclopropane;g;-499.85;12.75
174;C4H10O4;4;4;4;0;0; ;meso-l,2,3,4·butanetetrol  (meso-erythritol);c;-500.22;-217.56
175;C4H9N03 ;4;9;0;1;0;CC(C(C(=O)O)N)O;DL- and L-threonine ;c;-502.2;-181.4
176;C3H4N2OS ;3;4;1;4;1;C1C(=O)NC(=S)N1;thiohydantoin ;c;-503.2;-59.5
177;C3H8O ;3;8;1;0;0;CCOC;methyl ethyl ether ;g;-503.69;-51.72
178;C4H4O ;4;4;1;0;0;C1=COC=C1;furan;g;-504.6;-8.23
179;C5H8O5;5;8;5;0;0;C(C1C(C(C(=O)O1)O)O)O;D-arabuuic acid-y-lactone;c;-505.3;-238.2
180;C2H8N10O;2;8;1;10;0;C1(=NNN=N1)N=NN(C(=N)N)N.O;1-(5-tetrazolyl)-4-guanyltetra-zene monohydrate ;c;-506.5;45.2
181;C4H8N2O2;4;8;2;2;0;C(CC(=O)N)C(=O)N;succinamide;c;-510.6;-138.9
182;C3H4N6;3;4;0;6;0;CN1C(=CN=N1)N=[N+]=[N-];3-azido-5-methyl-s-triazole ;c;-512.6;93.8
183;C5H8O4;5;8;4;0;0;C(CC(=O)O)CC(=O)O;glutaric acid ;c;-514.08;-229.44
184;C6H6O6;6;6;6;0;0;C12C(C(C(=O)O1)O)OC(=O)C2O;D-mannonic-l ,4-3,6-dilactone;c;-514.7;-254.6
185;C5H4N4O2;5;4;2;4;0;C1=NC2=C(N1)C(=O)NC(=O)N2;xanthine ;c;-516.39;-90.49
186;C3H6O2S ;3;6;2;0;1;O=C(O)C(S)C;,B-thiolacticacid ;liq;-519;-111.6
187;C2H6S ;2;6;0;0;1;CCS;ethanethiol ;liq;-519.39;-17.53
188;C2H6S ;2;6;0;0;1;CSC;2-thiapropane ;liq;-521.37;-15.55
189;C4H8O2;4;8;2;0;0;O=C(O)CCC;butyric acid (butanoic acid);liq;-521.87;-127.59
190;C3H8;3;8;0;0;0;CCC;propane;g;-530.57;-24.84
191;C3H6N4;3;6;0;4;0;CC1=NN=NN1C;1,5-dimethyl tetrazole ;c;-532.2;45.1
192;C5H9NO4 ;5;9;4;1;0;C(CC(=O)O)C(C(=O)O)N;L-glutamic acid ;c;-536;-241.5
193;C5H6N2O3;5;6;3;2;0;CN1C(=O)C(=O)N(C1=O)C;dimethyl parabanic acid;c;-538.2;-137
194;C48H80O40 ;4;80;40;0;0; ;B-hexamylose;c;-539;-1853
195;C3H7NO2S ;3;7;2;1;1;C(C(C(=O)O)N)S;L-cysteine ;c;-540;-124.6
196;C3H7NO2S;3;7;2;1;1;C(C(C(=O)O)N)S;L-cysteine;c;-540.5;-124.6
197;C4H9NO2 ;4;9;2;1;0;C(CC(=O)O)CN;y-aminobutyric acid ;c;-545.5;-138.1
198;C4H4N2;4;4;0;2;0;C1=CN=CC=N1;pyrazine ;c;-546.24;33.41
199;C4H7NO;4;7;1;1;0;C1CC(=O)NC1;a-pyrrolidone ;c;-547;-68.3
200;C4H4N2;4;4;0;2;0;C1=CN=CN=C1;pyrimidine ;liq;-547.87;35.04
201;C3H10N2O3;3;10;3;2;0;C[NH+](C)C.[N+](=O)([O-])[O-];trimethylamine nitrate;c;-549.6;-74.1
202;C4H11N3O3 ;4;11;3;3;0;CN(CC(=O)O)C(=N)N.O;creatine hydrate ;c;-552.8;-199.1
203;C5H8O4 ;5;8;4;0;0;O=C(OC)CC(=O)OC;dimethyl malonate  ;liq;-553.3;-190.2
204;C3H8N6O3;3;8;3;6;0; ;1,3-dimcthyl-5-imino-tetrazole nitrate ;c;-554.1;-1.3
205;C4H9N3O2;4;9;2;3;0;CN(CC(=O)O)C(=N)N;creatine ;c;-555.16;-128.16
206;C4H8O2;4;8;2;0;0; ;glycol acetal;liq;-558.4;-91.1
207;C4H7N3O;4;7;1;3;0;CN1CC(=O)N=C1N;creatinine ;c;-558.54;-56.77
208;C5H10O5;5;10;5;0;0;O=CC(O)C(O)C(O)CO;B-D- and B-L-arabinose   ;c;-558.99;-252.84
209;C5H10O5;5;10;5;0;0;C1C(C(C(C(O1)O)O)O)O;a-D-xylose ;c;-559;-252.8
210;C5H4O2 ;5;4;2;0;0;C1=COC(=C1)C=O;furfural;liq;-559.1;-47.8
211;C6H9NO6;6;9;6;1;0;C(C(=O)O)N(CC(=O)O)CC(=O)O;nitrilotriacetic acid ;c;-559.2;-312.5
212;C6H8O6;6;8;6;0;0;C(C(C1C(=C(C(=O)O1)O)O)O)O;L-ascorbic acid;c;-559.23;-278.34
213;C4H8O2;4;8;2;0;0;C1COCOC1;1,3-dioxane;liq;-559.48;-89.99
214;C4H4N2;4;4;0;2;0;C1=CN=CC=N1;pyrazine ;g;-559.69;46.86
215;C4H4N2;4;4;0;2;0;C1=CN=CN=C1;pyrimidine ;g;-559.82;46.99
216;C5H10O5;5;10;5;0;0;C(C1C(C(C(O1)O)O)O)O;B-D-ribose  ;c;-560.67;-251.16
217;C4H5N;4;5;0;1;0;C1=CNC=C1;pyrrole ;liq;-562.07;15.08
218;C4H7N5O2;4;7;2;5;0; ;5-tetrazolylurethan ;c;-562.7;-52.6
219;C3H9N ;3;9;0;1;0;CC(C)N;isopropylamine;liq;-562.74;-26.83
220;C5H6N2O2;5;6;2;2;0;O=C1NC=C(C(=O)N1)C;thymine (5-methyl uracil);c;-563.3;-111.9
221;C3H7N5;3;7;0;5;0; ;5-dimethylaminotetrazole ;c;-564.9;43.6
222;C4H8O2;4;8;2;0;0;O1CCOCC1;l,4-dioxane ;liq;-564.99;-84.47
223;C3H9N ;3;9;0;1;0;NCCC;n-Plopylamine;liq;-565.31;-24.26
224;C5H6N2O2;5;6;2;2;0;CC1=CC(=O)NC(=O)N1;4-methyluracil ;c;-566;-109.2
225;C4H4N2;4;4;0;2;0;C1=CC=NN=C1;pyridazine ;liq;-566.57;53.74
226;C5H8N4O3;5;8;3;4;0; ;methyl allantoin (pyvurile);liq;-566.6;-177
227;C3H5N7;3;5;0;7;0; ; 4-amino-3-azido-5-methyl-s-triazole;c;-568.6;115.6
228;C4H5N;4;5;0;1;0;C1=CNC=C1;pyrrole ;g;-572.87;25.88
229;C5H8O3;5;8;3;0;0;O=C(O)CCC(=O)C; levulinie acid (y-ketovaleric acid)  ;c;-576.9;166.6
230;C3H9N ;3;9;0;1;0;CN(C)C;trimethylamine;liq;-578.6;-11
231;C4H4N2;4;4;0;2;0;C1=CC=NN=C1;pyridazinc ;g;-579.35;66.52
232;C5H4N4O;5;4;1;4;0;O=C1N=CNC=2N=CNC12;hypoxanthine (6-oxypurine);c;-580.65;-26.24
233;C8H10N4O10;8;10;10;4;0;C1(=O)C(C(=O)NC(=O)N1)(C2(C(=O)NC(=O)NC2=O)O)O.O.O;alloxantin dihydrate ;c;-583.7;-510.3
234;C4H8O;4;8;1;0;0;O=C(C)CC; butanone (methyl ethyl ketone);liq;-584.17;-65.29
235;C6H12O7;6;12;7;0;0;C(C(C(C(C(C(=O)O)O)O)O)O)O;D-galactonic acid;c;-589.4;-384.8
236;C4H8O;4;8;1;0;0;O=C(C)CC; butanone (methyl ethyl ketone);g;-590.2;-59.26
237;C5H4N4O;5;4;1;4;0; ;8-oxypurine ;c;-591.4;-15.4
238;C4H8O ;4;8;1;0;0;O=CCCC;n-butyraldehyde (1- butanal);liq;-592.2;-57.3
239;C5H10O4;5;10;4;0;0;CC(=O)OCC(O)CO;glyceryl-1-acetate ;liq;-594.3;-217.5
240;C6H12O7;6;12;7;0;0;C(C(C(C(C(C(=O)O)O)O)O)O)O;D-gluconic acid;c;-594.9;-379.3
241;C4H9NO ;4;9;1;1;0;CCCC(=O)N;n-butyramide;c;-596.1;-87.5
242;C5H5N5O;5;5;1;5;0;C1=NC2=C(N1)C(=O)NC(=N2)N;guanine ;c;-597.33;-43.72
243;C4H8O ;4;8;1;0;0;C1CCOC1;tetrahydrofuran ;liq;-598.4;-51.1
244;C5H6O2;5;6;2;0;0; ;levulinic lactone;liq;-599;-76.2
245;C3H10N2 ;3;10;0;2;0;CC(CN)N;1,2-propanediamine;liq;-600.35;-23.38
246;C4H8O ;4;8;1;0;0;C1CCOC1;tetrahydrofuran;g;-605.44;-44.03
247;C6H10O6;6;10;6;0;0;O=C1OC(CO)C(O)C(O)C1O;D-gluconic acid-S-lactone;c;-605.6;-300.3
248;C6H10O6;6;10;6;0;0;O=C1OC(C(O)CO)C(O)C1O;D-gaIactonic acid-y-Iactone;c;-607.6;-298.3
249;C5H6O2 ;5;6;2;0;0;C1=COC(=C1)CO;furfuryl alcohol ;liq;-609.2;-66
250;C6H10O6;6;10;6;0;0;O=C1OC(C(O)CO)C(O)C1O;D-mannonic acid-y-Iactone;c;-609.7;-296.2
251;C5H12O5;5;12;5;0;0;C(C(C(C(CO)O)O)O)O;L-arabitol;c;-611;-268.7
252;C5H1205;5;12;0;0;0;OCC(O)C(O)C(O)CO;xylitol;c;-612.83;-267.32
253;C6H10O6;6;10;6;0;0;C(C(C1C(C(C(=O)O1)O)O)O)O;L-gulonic acid-y-lactone;c;-614.4;-291.5
254;C5H10N2O3 ;5;10;3;2;0;C(CC(=O)N)C(C(=O)O)N;L-glutamine ;c;-614.5;-197.3
255;C5H5NO;5;5;1;1;0;C1=CNC(=C1)C=O;pyrrolaldehyde ;c;-616.3;-24.8
256;C5H8N2O2;5;8;2;2;0;CC1(C(=O)NC(=O)N1)C;5,5-dimethyl hydantoin;c;-617.1;-126.4
257;C5H8N2O2;5;8;2;2;0;CN1CCC(=O)NC1=O;4-methylhydrouracil ;c;-618;-125.5
258;C5H9NO3;5;9;3;1;0;C1C(CNC1C(=O)O)O;L-hydroxyproline ;c;-619.6;-158.1
259;  C5H8O2 ;5;8;2;0;0;O=C(O)C(=CC)C;tiglic acid (cis-a,B- dimethylacrylic acid);c;-626;-117.3
260;C5H10N2O3;5;10;3;2;0;CC(C(=O)NCC(=O)O)N;DL-alanylglycine;c;-626.19;-185.64
261;C4H10O2 ;4;10;2;0;0;COCCOC;1,2-dimethoxyethane ;liq;-627.76;-90.02
262;C6H8O4 ;6;8;4;0;0; ;hexa-2-ene-1,6-dioic acid ;c;-629;-209
263;C6H8O4 ;6;8;4;0;0;C(C=CCC(=O)O)C(=O)O;hexa-3-ene-1,6-dioic acid ;c;-629;-209
264;C4H10O;4;10;1;0;0;CC(C)(C)O; 2-methyl-2-propanol;c;-630.3;-87.5
265;C4H10O;4;10;1;0;0;CC(C)(C)O;2-methyl-2-propanol ;liq;-631.92;-85.86
266;  C5H8O2 ;5;8;2;0;0;O=C(O)C(=CC)C;angelic acid (trans-a,{B- dimethylacrylic acid);c;-634;-108.9
267;C4H10O;4;10;1;0;0;CCC(C)O;2-butanol;liq;-635.9;-81.88
268;C3H6S ;3;6;0;0;1; ;tlliacyclobutane ;liq;-636.9;5.93
269;C4H10O;4;10;1;0;0;CC(C)CO;2-methyl-l-propanol;liq;-637.93;-79.85
270;C4H10O;4;10;1;0;0;CC(C)CO;I-butanol;liq;-639.53;-78.25
271;C4H2N2S ;4;2;0;2;1;C1=C(N=CS1)C#N;4-oyanothiazolo ;c;-641.03;52.63
272;C4H8;4;8;0;0;0;C1CCC1;cyclobutane;liq;-650.22;0.76
273;C6H5NO2;6;5;2;1;0;C1=CC=NC(=C1)C(=O)O;picolinic· acid ;c;-651.4;-83.701
274;C5H9NO2 ;5;9;2;1;0;C1CC(NC1)C(=O)O;DL-proline ;c;-652;-125.701
275;C6H8O4;6;8;4;0;0;CC1C(=O)OC(C(=O)O1)C;lactide;c;-653.4;-184.2
276;C6H10O5;6;10;5;0;0;C1(C(C(=O)OC1C(C(=O)O)O)O)O;saccharinic acid lactone;c;-656.3;-249.6
277;C4H10O ;4;10;1;0;0;O(CC)CC;dietbyl ether ;g;-657.52;-60.26
278;C8H6N4O6 ;8;6;6;4;0;C1(C(=O)NC(=O)NC1=O)C2C(=O)NC(=O)NC2=O;hydurilic acid ;c;-658.2;-299.2
279;C5H1204 ;5;12;0;0;0;C(C(CO)(CO)CO)O;pentaerythritol;c;-660.1;-220
280;C6H8O4 ;6;8;4;0;0;COC(=O)C=CC(=O)OC;dimethyl fumarate;liq;-663.3;-174.3
281;C5H5N5;5;5;0;5;0;C1=NC2=NC=NC(=C2N1)N;adenine ;c;-664.25;23.21
282;C5H5N;5;5;0;1;0;C1=CC=NC=C1;pyridine ;liq;-665;23.96
283;C2H6S2 ;2;6;0;0;2;CSSC;2,3-dithiabutane ;liq;-665.98;-14.82
284;C6H14O7 ;6;14;7;0;0;C(C1C(C(C(C(O1)O)O)O)O)O.O;a-D-glucose hydrate;c;-667.54;-374.97
285;C2H6S2 ;2;6;0;0;2;C(CS)S;1,2-ethanedithiol ;liq;-667.97;-12.83
286; C6H10O4 ;6;10;4;0;0;C(CCC(=O)O)CC(=O)O;adipic acid ;c;-668.29;-237.6
287;C4H6N6;4;6;0;6;0;;3-azido-5-ethyl-s-triazole ;c;-668.5;87.4
288;C6H8O4 ;6;8;4;0;0;COC(=O)C=CC(=O)OC;dimethyl maleate ;liq;-669.4;-168.2
289;C6H12O6;6;12;6;0;0;C(C1C(C(C(C(O1)O)O)O)O)O;a-D-glucose  ;c;-669.94;-304.26
290;C6H12O6;6;12;6;0;0;C(C1C(C(C(C(O1)O)O)O)O)O;a-D-galactose ;c;-670;-304.1
291;C6H12O6;6;12;6;0;0;C1C(C(C(C(O1)(CO)O)O)O)O;L-sorbose ;c;-670;-303.6
292;C6H12O6;6;12;6;0;0;C(C1C(C(C(C(O1)O)O)O)O)O;B-D-glucose  ;c;-671.44;-302.76
