;Formula;C;H;O;N;S;SMILE;Nome;E.F.;Calor_de_Combustão;Formação
648;C19H21NO3;19;21;3;1;0;CN1CCC23C4C(=CC=C2C1CC5=C3C(=C(C=C5)OC)O4)OC;thebaine;c;-2441.3;-63
649;C17H34O4 ;17;34;4;0;0;CCCCCCCCCCCCCC(=O)OCC(CO)O;glyceryl-1-myristate;c;-2467.92;-292.31
650;C17H34O4 ;17;34;4;0;0;CCCCCCCCCCCCCC(=O)OC(CO)CO;glyceryl-2-myristate;c;-2470.34;-289.89
651;C20H21NO4 ;20;21;4;1;0;COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC;papaverine;c;-2478.1;-120.2
652; C19H22N2O  ;19;22;1;2;0;C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O;cinchonidine;c;-2545.5;7.1
653;C19H22N2O ;19;22;1;2;0;C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O;cinchonine;c;-2545.8;7.4
654;C19H25N3O4 ;19;25;4;3;0;;cinchonamine nitrate;c;-2561;-79.9
655;C19H26O2;19;26;2;0;0;CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C;A4-androstene-3,17-dione;c;-2572;-103
656;C21H16N2 ;21;16;0;2;0;C1=CC=C(C=C1)C2=C(N=C(N2)C3=CC=CC=C3)C4=CC=CC=C4;lophine ;c;-2587;65
657;C19H24N2O ;19;24;1;2;0;C=CC1CN2CCC1CC2C3=C(C4=CC=CC=C4N3)CCO;cinchonamine;c;-2596.3;-10.4
658;C19H28O2;19;28;2;0;0;CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4=O)C;5a-androstane-3,17-dione;c;-2613;-130
659;C21H22N2O2 ;21;22;2;2;0;;Mtrychllille;c;-2635.5;-41
660;C19H28O2;19;28;2;0;0;CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C;A5-androstene-3B-ol-17-one (trans-dehydroandro sterone)  ;c;-2636;-107
661;C18H34O2;18;34;2;0;0;;elaidic acid;c;-2636.6;-217.7
662;C22H23NO7 ;22;23;7;1;0;CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3;narcotine;c;-2643.8;-210.9
663;C19H28O2;19;28;2;0;0;O=C1C=C2CCC3C4CCC(=O)C4(C)CCC3C2(C)CC1;A4-androstene-3-one-17B-ol (testosterone) ;c;-2649;-94
664;C19H30O2;19;30;2;0;0;CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)O;5a-androstane-3a-ol-17-one (androsterone)  ;c;-2650;-162
665;C21H18N2 ;21;18;0;2;0;;amarine;c;-2653;63
666;C21H19N2O0.5 ;21;19;0.5;2;0;;amarine hemihydrate;c;-2653;29
667;C19H30O2;19;30;2;0;0;O=C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C;5a-androstane-3B-ol-17-one (epiandrosterone)  ;c;-2660;-152
668;C20H24N2O2 ;20;24;2;2;0;COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O;quinidine;c;-2662.5;-38.3
669;C20H24N2O2 ;20;24;2;2;0;COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O;quinine;c;-2663.7;-37.1
670;C18H34O2;18;34;2;0;0;CCCCCCCCC=CCCCCCCCC(=O)O;oleic acid;c;-2667.1;-187.2
671;C18H34O2;18;34;2;0;0;CCCCCCCCC=CCCCCCCCC(=O)O;oleic acid;liq;-2675.4;-178.9
672;C21H28O5;21;28;5;0;0;O=C1C=C2CCC3C(C(=O)CC4(C)C3CCC4(O)C(=O)CO)C2(C)CC1;A4-pregnene-3,11,20-trione-17a, 21-diol (c) (cortisone)  ;c;-2676;-255
673;C19H30O2;19;30;2;0;0;;5a-androstane-3-one-17B-ol ;c;-2692;-120
674;C18H36O2;18;36;2;0;0;C(CCCCCCCCCCC)CCCCCC(O)=O;stearic acid (octadecanoic  acid)  ;c;-2696.12;-226.47
675;C24H42O21 ;24;42;21;0;0;C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC3C(C(C(C(O3)OC4(C(C(C(O4)CO)O)O)CO)O)O)O)O)O)O)O)O)O)O;stachyose;c;-2705;-987
676;C18H36O2;18;36;2;0;0;C(CCCCCCCCCCC)CCCCCC(O)=O;stearic acid (octade canoic acid)  ;liq;-2710.1;-212.5
677;C24H20O6 ;24;20;6;0;0;C1=CC=C(C=C1)C(=O)OCC(COC(=O)C2=CC=CC=C2)OC(=O)C3=CC=CC=C3;glyceryl tribenzoate;c;-2726;-214
678;C21H30O5;21;30;5;0;0;CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O;A4-pregnene-3 ,20-dione-11B, 17a,21-triol (cortisol);c;-2744;-256
679;C24H40O20 ;24;40;20;0;0;;diamylose;c;-2774;-850
680;C19H38O4 ;19;38;4;0;0;CCCCCCCCCCCCCCCC(=O)OCC(CO)O;glyceryl-1-palmitate;c;-2778.67;-306.28
681;C19H38O4 ;19;38;4;0;0;;glyceryl-2-palmitate;c;-2781.72;-303.23
